top,seq,sredni_czas,mediana_czas,max_czas,stddevi,cluster_results_KMeans,cluster_results_KMedoids
d-pd,223,12380.0,12380.0,24340.0,16913.994205982217,1,2
+p+l+p,242,359854.28571428574,18240.0,1000000.0,469285.3015262373,2,0
+l+l+l,324,425018.3333333333,574790.0,729200.0,335156.8432250878,2,0
+ld-l,413,0.0,0.0,0.0,0.0,1,2
+l+p+l,224,581011.6666666666,655040.0,1000000.0,440395.3392915245,0,1
+p+l+l,322,124163.33333333331,71030.0,369540.0,138923.6650346753,3,3
d-pd,422,617160.0,617160.0,1000000.0,541417.5202189157,0,1
+ld-l,341,8040.0,8040.0,8040.0,0.0,1,2
+pd-l,433,651930.0,1000000.0,1000000.0,459534.7363245665,0,1
-pd+l,343,848073.3333333334,1000000.0,1000000.0,325664.4770125824,0,1
+p+l+l,334,495128.0,179840.0,1000000.0,461067.42968897725,2,0
+p+l+l,244,49197.142857142855,28260.0,201300.0,69655.01410864972,1,3
-p-p-p,143,637091.6666666666,975140.0,1000000.0,455666.1612475306,0,1
-pd+p,242,836008.3333333334,1000000.0,1000000.0,318659.0696206765,0,1
+p+p+p,112,0.0,0.0,0.0,0.0,1,2
-pd+l,424,669840.0,1000000.0,1000000.0,571853.8946269405,0,1
-pd+l,143,729160.0,1000000.0,1000000.0,419588.10503982246,0,1
-p-l-l,443,579964.4444444445,1000000.0,1000000.0,498396.0471129138,0,1
+pd-p,443,498184.4444444445,291120.0,1000000.0,482947.6957992219,2,0
+l+p+p,331,634728.3333333334,775480.0,1000000.0,397596.68175479566,0,1
d+pd,222,15870.0,15870.0,23440.0,10705.59666716433,1,2
-p-p-p,442,423240.0,168820.0,1000000.0,443889.6831421068,2,0
-p-p-l,444,763258.3333333334,1000000.0,1000000.0,397735.4854636052,0,1
-pd+l,144,677940.0,1000000.0,1000000.0,460553.1665291207,0,1
-l-p-l,124,0.0,0.0,0.0,0.0,1,2
-l-l-l,244,152006.66666666666,114650.0,346160.0,132056.51921305008,3,3
-p-p-l,214,624156.0,688650.0,1000000.0,397401.7936323668,0,1
-l-p-p,132,5180.0,5180.0,5180.0,0.0,1,2
+pd-p,413,0.0,0.0,0.0,0.0,1,2
-ld+p,241,197770.0,197770.0,390680.0,272815.93831739377,3,3
-p-l-p,132,157951.42857142858,14340.0,1000000.0,371765.4364169506,2,0
-l-p-l,132,0.0,0.0,0.0,0.0,1,2
-l-l-l,212,326002.8571428572,112560.0,1000000.0,447572.13056349126,2,0
+l+l+p,334,501452.7272727273,451120.0,1000000.0,378343.6416035271,2,0
+l+l+l,424,745528.3333333334,1000000.0,1000000.0,359260.612871222,0,1
-pd+l,134,500546.6666666667,364590.0,1000000.0,391584.6177063681,2,0
+ld-p,323,184405.7142857143,15480.0,1000000.0,368016.0843793444,2,0
+p+p+l,121,0.0,0.0,0.0,0.0,1,2
-ld+l,324,74616.66666666667,43940.0,242420.0,90149.17806983416,3,3
+ld-p,422,150712.0,163460.0,206380.0,56952.51109477088,3,3
-p-l-p,422,99011.11111111112,77740.0,273440.0,93558.98626594408,3,3
d-pd,341,0.0,0.0,0.0,0.0,1,2
d-pd,412,0.0,0.0,0.0,0.0,1,2
-l-p-p,331,0.0,0.0,0.0,0.0,1,2
-ld+p,332,207655.5555555556,44980.0,800420.0,299367.3657528118,2,0
+p+p+l,411,0.0,0.0,0.0,0.0,1,2
+l+p+p,143,678910.0,1000000.0,1000000.0,497437.8198327908,0,1
-p-l-p,121,2440.0,2440.0,2440.0,0.0,1,2
+pd-l,111,0.0,0.0,0.0,0.0,1,2
+l+p+l,331,54500.0,54500.0,104440.0,70625.82530491236,1,3
-ld+l,421,92056.0,20020.0,398340.0,171630.2446540236,3,3
+p+p+p,131,0.0,0.0,0.0,0.0,1,2
-pd+p,133,271215.0,128830.0,1000000.0,340743.7610790339,2,0
+p+p+l,343,270930.0,101650.0,1000000.0,380503.5294974279,2,0
+p+p+l,332,285976.0,63100.0,746160.0,363853.6330449375,2,0
-pd+l,414,0.0,0.0,0.0,0.0,1,2
+p+p+p,443,224960.0,105480.0,871740.0,303615.3123059947,2,0
-l-l-p,314,492950.0,360200.0,1000000.0,440585.9453459264,2,0
+l+p+p,444,874951.6666666666,1000000.0,1000000.0,298341.34050029865,0,1
+p+l+p,224,0.0,0.0,0.0,0.0,1,2
+l+l+l,112,23700.0,23700.0,25280.0,2234.45742854949,1,2
-p-l-p,324,172106.0,40760.0,721620.0,232362.63307358368,3,0
+ld-p,123,7320.0,7320.0,7320.0,0.0,1,2
-pd+p,111,0.0,0.0,0.0,0.0,1,2
-p-p-l,322,39990.0,39990.0,57660.0,24989.15364713259,1,2
+p+p+p,441,21940.0,21940.0,34100.0,17196.836918456836,1,2
+l+p+p,431,694756.6666666666,922790.0,1000000.0,376324.9835238719,0,1
d-pd,242,5620.0,5540.0,9960.0,4300.558103316359,1,2
-pd+l,333,599594.0,712550.0,1000000.0,411925.19461669255,0,1
