top,seq,sredni_czas,mediana_czas,max_czas,skladalnosc,obecnosc,n_600ns,n_1us,stddevi,etykieta
-p-p-l,213,830315.0,1000000.0,1000000.0,0.75,12,9,9,323628.64286372764,BARDZO STABILNY
-p-p-l,214,624156.0,688650.0,1000000.0,1.0,10,5,4,397401.79363236675,BARDZO STABILNY
-p-p-l,221,56090.0,56090.0,107180.0,0.25,2,0,0,72252.17090164142,NIESTABILNY
-p-p-l,222,167922.85714285713,11900.0,877320.0,0.5,7,1,0,325063.72676314233,ŚREDNIO STABILNY
-p-p-l,223,480000.0,234110.0,1000000.0,1.0,12,5,5,464590.67716549255,BARDZO STABILNY
-p-p-l,224,888561.6666666666,1000000.0,1000000.0,1.0,12,10,9,214470.89422506024,BARDZO STABILNY
-p-p-l,231,0.0,0.0,0.0,0.25,0,0,0,,NIESTABILNY
-p-p-l,232,731588.0,1000000.0,1000000.0,0.75,5,4,3,424806.0257576392,NIESTABILNY
-p-p-l,233,928650.9090909091,1000000.0,1000000.0,0.75,11,10,10,236638.163678412,BARDZO STABILNY
-p-p-l,234,932500.0,1000000.0,1000000.0,1.0,12,11,11,233826.85902179845,BARDZO STABILNY
-p-p-l,241,16036.0,11140.0,35720.0,0.75,5,0,0,13754.427650760317,NIESTABILNY
-p-p-l,242,151197.77777777778,9060.0,661080.0,0.75,9,1,0,236515.088618981,ŚREDNIO STABILNY
-p-p-l,243,567425.0,626760.0,1000000.0,1.0,12,6,5,437895.6933604581,BARDZO STABILNY
-p-p-l,244,1000000.0,1000000.0,1000000.0,0.75,9,9,9,0.0,BARDZO STABILNY
-p-p-l,311,50380.0,50380.0,86440.0,0.5,2,0,0,50996.54105917381,NIESTABILNY
-p-p-l,312,409976.6666666667,193660.0,1000000.0,0.5,6,2,2,462647.8556166306,ŚREDNIO STABILNY
-p-p-l,313,391886.6666666667,116820.0,1000000.0,0.5,9,3,3,460961.98595979693,BARDZO STABILNY
-p-p-l,314,828358.1818181818,1000000.0,1000000.0,1.0,11,9,8,312901.88320999866,BARDZO STABILNY
-p-p-l,321,65816.0,18360.0,254860.0,0.25,5,0,0,107335.22758162858,NIESTABILNY
-p-p-l,322,39990.0,39990.0,57660.0,0.5,2,0,0,24989.15364713259,NIESTABILNY
-p-p-l,323,988226.6666666666,1000000.0,1000000.0,0.5,9,9,8,35320.0,BARDZO STABILNY
-p-p-l,324,595816.6666666666,779760.0,779760.0,1.0,12,9,0,333348.8518145227,ŚREDNIO STABILNY
-p-p-l,331,87710.0,87710.0,173940.0,0.25,2,0,0,121947.63548343198,NIESTABILNY
-p-p-l,332,143745.7142857143,31240.0,796380.0,0.75,7,1,0,289586.11240050534,ŚREDNIO STABILNY
-p-p-l,333,510630.0,529950.0,1000000.0,1.0,12,6,6,511396.6756033733,BARDZO STABILNY
-p-p-l,334,868093.3333333334,1000000.0,1000000.0,1.0,12,10,9,307144.6220603676,BARDZO STABILNY
-p-p-l,341,67855.0,45440.0,164260.0,0.5,4,0,0,69107.30858599544,NIESTABILNY
-p-p-l,342,398122.5,270730.0,1000000.0,0.5,8,2,2,394442.1706573185,ŚREDNIO STABILNY
-p-p-l,343,405192.5,301580.0,1000000.0,0.75,8,2,2,391132.3170981547,ŚREDNIO STABILNY
-p-p-l,344,556526.6666666666,665020.0,1000000.0,0.5,6,3,2,473660.24644956924,ŚREDNIO STABILNY
-p-p-l,411,80060.0,80060.0,80060.0,0.5,1,0,0,,NIESTABILNY
-p-p-l,412,59980.0,62500.0,149820.0,0.75,7,0,0,61187.625110529225,NIESTABILNY
-p-p-l,413,779173.3333333334,1000000.0,1000000.0,0.75,12,9,8,368355.88605026907,BARDZO STABILNY
-p-p-l,414,831364.4444444445,1000000.0,1000000.0,0.75,9,7,7,339869.256299798,BARDZO STABILNY
-p-p-l,421,10870.0,10870.0,13860.0,0.0,2,0,0,4228.498551495554,NIESTABILNY
-p-p-l,422,424345.0,133710.0,1000000.0,0.75,8,3,3,478294.6111521045,ŚREDNIO STABILNY
-p-p-l,423,793922.2222222222,1000000.0,1000000.0,0.75,9,7,7,409564.4589615222,BARDZO STABILNY
-p-p-l,424,844921.6666666666,1000000.0,1000000.0,1.0,12,10,9,320407.87681366765,BARDZO STABILNY
-p-p-l,431,28530.0,28530.0,54520.0,0.25,2,0,0,36755.41048607674,NIESTABILNY
-p-p-l,432,195976.36363636365,74860.0,869940.0,0.75,11,1,0,258663.8152998106,ŚREDNIO STABILNY
-p-p-l,433,769443.3333333334,1000000.0,1000000.0,1.0,12,9,8,376438.68846028164,BARDZO STABILNY
-p-p-l,434,792334.0,1000000.0,1000000.0,1.0,10,8,7,416964.3459364628,BARDZO STABILNY
-p-p-l,441,7360.0,7360.0,7360.0,0.5,1,0,0,,NIESTABILNY
-p-p-l,442,147820.0,81200.0,732740.0,0.75,10,1,0,212341.3135078104,ŚREDNIO STABILNY
-p-p-l,443,192170.0,84480.0,1000000.0,0.75,10,1,1,304739.7580085525,BARDZO STABILNY
-p-p-l,444,763258.3333333334,1000000.0,1000000.0,0.75,12,9,8,397735.4854636052,BARDZO STABILNY
-p-p-p,111,527706.6666666666,483580.0,1000000.0,1.0,9,3,3,392153.72700001206,BARDZO STABILNY
-p-p-p,112,579358.1818181818,823820.0,1000000.0,0.75,11,6,5,466570.0101339172,BARDZO STABILNY
-p-p-p,113,460096.0,344850.0,1000000.0,1.0,10,4,3,469954.8848134255,BARDZO STABILNY
